Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
NOR,4,McLaren,1,MEDIUM,1,True,0 days 00:01:20.878000,80.878,1,False
NOR,4,McLaren,2,MEDIUM,2,True,0 days 00:01:16.134000,76.134,1,True
NOR,4,McLaren,3,MEDIUM,3,True,0 days 00:01:16.496000,76.496,1,False
NOR,4,McLaren,4,MEDIUM,4,True,0 days 00:01:16.304000,76.304,1,False
NOR,4,McLaren,5,MEDIUM,5,True,0 days 00:01:16.271000,76.271,1,False
NOR,4,McLaren,6,MEDIUM,6,True,0 days 00:01:16.225000,76.225,1,False
NOR,4,McLaren,7,MEDIUM,7,True,0 days 00:01:16.395000,76.395,1,False
NOR,4,McLaren,8,MEDIUM,8,True,0 days 00:01:16.169000,76.169,1,False
NOR,4,McLaren,9,MEDIUM,9,True,0 days 00:01:16.477000,76.477,1,False
NOR,4,McLaren,10,MEDIUM,10,True,0 days 00:01:16.292000,76.292,1,False
NOR,4,McLaren,11,MEDIUM,11,True,0 days 00:01:16.303000,76.303,1,False
NOR,4,McLaren,12,MEDIUM,12,True,0 days 00:01:16.200000,76.2,1,False
NOR,4,McLaren,13,MEDIUM,13,True,0 days 00:01:16.242000,76.242,1,False
NOR,4,McLaren,14,MEDIUM,14,True,0 days 00:01:16.470000,76.47,1,False
NOR,4,McLaren,15,MEDIUM,15,True,0 days 00:01:16.227000,76.227,1,False
NOR,4,McLaren,16,MEDIUM,16,True,0 days 00:01:15.689000,75.689,1,True
NOR,4,McLaren,17,MEDIUM,17,True,0 days 00:01:16.085000,76.085,1,False
NOR,4,McLaren,18,MEDIUM,18,True,0 days 00:01:16.066000,76.066,1,False
NOR,4,McLaren,19,MEDIUM,19,True,0 days 00:01:15.899000,75.899,1,False
NOR,4,McLaren,20,MEDIUM,20,True,0 days 00:01:16.043000,76.043,1,False
NOR,4,McLaren,21,MEDIUM,21,True,0 days 00:01:15.729000,75.729,1,False
NOR,4,McLaren,22,MEDIUM,22,True,0 days 00:01:15.796000,75.796,1,False
NOR,4,McLaren,23,MEDIUM,23,True,0 days 00:01:15.784000,75.784,1,False
NOR,4,McLaren,24,MEDIUM,24,True,0 days 00:01:15.692000,75.692,1,False
NOR,4,McLaren,25,MEDIUM,25,True,0 days 00:01:15.709000,75.709,1,False
NOR,4,McLaren,26,MEDIUM,26,True,0 days 00:01:15.873000,75.873,1,False
NOR,4,McLaren,27,MEDIUM,27,True,0 days 00:01:15.744000,75.744,1,False
NOR,4,McLaren,28,MEDIUM,28,True,0 days 00:01:19.241000,79.241,1,False
NOR,4,McLaren,29,HARD,1,True,0 days 00:01:35.150000,95.15,2,False
NOR,4,McLaren,30,HARD,2,True,0 days 00:01:14.571000,74.571,2,True
NOR,4,McLaren,31,HARD,3,True,0 days 00:01:14.391000,74.391,2,True
NOR,4,McLaren,32,HARD,4,True,0 days 00:01:14.476000,74.476,2,False
NOR,4,McLaren,33,HARD,5,True,0 days 00:01:14.489000,74.489,2,False
NOR,4,McLaren,34,HARD,6,True,0 days 00:01:14.491000,74.491,2,False
NOR,4,McLaren,35,HARD,7,True,0 days 00:01:14.474000,74.474,2,False
NOR,4,McLaren,36,HARD,8,True,0 days 00:01:14.312000,74.312,2,True
NOR,4,McLaren,37,HARD,9,True,0 days 00:01:14.724000,74.724,2,False
NOR,4,McLaren,38,HARD,10,True,0 days 00:01:14.557000,74.557,2,False
NOR,4,McLaren,39,HARD,11,True,0 days 00:01:14.707000,74.707,2,False
NOR,4,McLaren,40,HARD,12,True,0 days 00:01:14.639000,74.639,2,False
NOR,4,McLaren,41,HARD,13,True,0 days 00:01:15.010000,75.01,2,False
NOR,4,McLaren,42,HARD,14,True,0 days 00:01:15.205000,75.205,2,False
NOR,4,McLaren,43,HARD,15,True,0 days 00:01:14.791000,74.791,2,False
NOR,4,McLaren,44,HARD,16,True,0 days 00:01:14.577000,74.577,2,False
NOR,4,McLaren,45,HARD,17,True,0 days 00:01:14.831000,74.831,2,False
NOR,4,McLaren,46,HARD,18,True,0 days 00:01:14.603000,74.603,2,False
NOR,4,McLaren,47,HARD,19,True,0 days 00:01:14.892000,74.892,2,False
NOR,4,McLaren,48,HARD,20,True,0 days 00:01:14.776000,74.776,2,False
NOR,4,McLaren,49,HARD,21,True,0 days 00:01:14.911000,74.911,2,False
NOR,4,McLaren,50,HARD,22,True,0 days 00:01:14.575000,74.575,2,False
NOR,4,McLaren,51,HARD,23,True,0 days 00:01:14.832000,74.832,2,False
NOR,4,McLaren,52,HARD,24,True,0 days 00:01:14.687000,74.687,2,False
NOR,4,McLaren,53,HARD,25,True,0 days 00:01:14.738000,74.738,2,False
NOR,4,McLaren,54,HARD,26,True,0 days 00:01:14.468000,74.468,2,False
NOR,4,McLaren,55,HARD,27,True,0 days 00:01:14.599000,74.599,2,False
NOR,4,McLaren,56,HARD,28,True,0 days 00:01:14.816000,74.816,2,False
NOR,4,McLaren,57,HARD,29,True,0 days 00:01:14.867000,74.867,2,False
NOR,4,McLaren,58,HARD,30,True,0 days 00:01:15.098000,75.098,2,False
NOR,4,McLaren,59,HARD,31,True,0 days 00:01:14.979000,74.979,2,False
NOR,4,McLaren,60,HARD,32,True,0 days 00:01:14.518000,74.518,2,False
NOR,4,McLaren,61,HARD,33,True,0 days 00:01:15.046000,75.046,2,False
NOR,4,McLaren,62,HARD,34,True,0 days 00:01:15.008000,75.008,2,False
NOR,4,McLaren,63,HARD,35,True,0 days 00:01:14.310000,74.31,2,True
NOR,4,McLaren,64,HARD,36,True,0 days 00:01:14.858000,74.858,2,False
NOR,4,McLaren,65,HARD,37,True,0 days 00:01:14.786000,74.786,2,False
NOR,4,McLaren,66,HARD,38,True,0 days 00:01:14.624000,74.624,2,False
NOR,4,McLaren,67,HARD,39,True,0 days 00:01:14.688000,74.688,2,False
NOR,4,McLaren,68,HARD,40,True,0 days 00:01:14.660000,74.66,2,False
NOR,4,McLaren,69,HARD,41,True,0 days 00:01:14.657000,74.657,2,False
NOR,4,McLaren,70,HARD,42,True,0 days 00:01:14.871000,74.871,2,False
NOR,4,McLaren,71,HARD,43,True,0 days 00:01:15.007000,75.007,2,False
NOR,4,McLaren,72,HARD,44,True,0 days 00:01:13.817000,73.817,2,True
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:19.915000,79.915,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:16.106000,76.106,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:16.131000,76.131,1,False
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:16.432000,76.432,1,False
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:16.181000,76.181,1,False
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:16.155000,76.155,1,False
VER,1,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:16.281000,76.281,1,False
VER,1,Red Bull Racing,8,MEDIUM,8,True,0 days 00:01:16.347000,76.347,1,False
VER,1,Red Bull Racing,9,MEDIUM,9,True,0 days 00:01:16.252000,76.252,1,False
VER,1,Red Bull Racing,10,MEDIUM,10,True,0 days 00:01:16.455000,76.455,1,False
VER,1,Red Bull Racing,11,MEDIUM,11,True,0 days 00:01:16.360000,76.36,1,False
VER,1,Red Bull Racing,12,MEDIUM,12,True,0 days 00:01:16.538000,76.538,1,False
VER,1,Red Bull Racing,13,MEDIUM,13,True,0 days 00:01:16.338000,76.338,1,False
VER,1,Red Bull Racing,14,MEDIUM,14,True,0 days 00:01:16.466000,76.466,1,False
VER,1,Red Bull Racing,15,MEDIUM,15,True,0 days 00:01:16.222000,76.222,1,False
VER,1,Red Bull Racing,16,MEDIUM,16,True,0 days 00:01:16.235000,76.235,1,False
VER,1,Red Bull Racing,17,MEDIUM,17,True,0 days 00:01:16.304000,76.304,1,False
VER,1,Red Bull Racing,18,MEDIUM,18,True,0 days 00:01:16.901000,76.901,1,False
VER,1,Red Bull Racing,19,MEDIUM,19,True,0 days 00:01:15.946000,75.946,1,True
VER,1,Red Bull Racing,20,MEDIUM,20,True,0 days 00:01:16.625000,76.625,1,False
VER,1,Red Bull Racing,21,MEDIUM,21,True,0 days 00:01:16.416000,76.416,1,False
VER,1,Red Bull Racing,22,MEDIUM,22,True,0 days 00:01:16.411000,76.411,1,False
VER,1,Red Bull Racing,23,MEDIUM,23,True,0 days 00:01:16.586000,76.586,1,False
VER,1,Red Bull Racing,24,MEDIUM,24,True,0 days 00:01:16.330000,76.33,1,False
VER,1,Red Bull Racing,25,MEDIUM,25,True,0 days 00:01:16.652000,76.652,1,False
VER,1,Red Bull Racing,26,MEDIUM,26,True,0 days 00:01:16.517000,76.517,1,False
VER,1,Red Bull Racing,27,MEDIUM,27,True,0 days 00:01:19.890000,79.89,1,False
VER,1,Red Bull Racing,28,HARD,1,True,0 days 00:01:34.574000,94.574,2,False
VER,1,Red Bull Racing,29,HARD,2,True,0 days 00:01:15.041000,75.041,2,True
VER,1,Red Bull Racing,30,HARD,3,True,0 days 00:01:14.752000,74.752,2,True
VER,1,Red Bull Racing,31,HARD,4,True,0 days 00:01:15.150000,75.15,2,False
VER,1,Red Bull Racing,32,HARD,5,True,0 days 00:01:14.888000,74.888,2,False
VER,1,Red Bull Racing,33,HARD,6,True,0 days 00:01:14.937000,74.937,2,False
VER,1,Red Bull Racing,34,HARD,7,True,0 days 00:01:15.099000,75.099,2,False
VER,1,Red Bull Racing,35,HARD,8,True,0 days 00:01:14.909000,74.909,2,False
VER,1,Red Bull Racing,36,HARD,9,True,0 days 00:01:15.131000,75.131,2,False
VER,1,Red Bull Racing,37,HARD,10,True,0 days 00:01:15.065000,75.065,2,False
VER,1,Red Bull Racing,38,HARD,11,True,0 days 00:01:15.045000,75.045,2,False
VER,1,Red Bull Racing,39,HARD,12,True,0 days 00:01:15.138000,75.138,2,False
VER,1,Red Bull Racing,40,HARD,13,True,0 days 00:01:15.095000,75.095,2,False
VER,1,Red Bull Racing,41,HARD,14,True,0 days 00:01:15.016000,75.016,2,False
VER,1,Red Bull Racing,42,HARD,15,True,0 days 00:01:15.095000,75.095,2,False
VER,1,Red Bull Racing,43,HARD,16,True,0 days 00:01:15.299000,75.299,2,False
VER,1,Red Bull Racing,44,HARD,17,True,0 days 00:01:15.333000,75.333,2,False
VER,1,Red Bull Racing,45,HARD,18,True,0 days 00:01:15.099000,75.099,2,False
VER,1,Red Bull Racing,46,HARD,19,True,0 days 00:01:15.155000,75.155,2,False
VER,1,Red Bull Racing,47,HARD,20,True,0 days 00:01:15.320000,75.32,2,False
VER,1,Red Bull Racing,48,HARD,21,True,0 days 00:01:14.981000,74.981,2,False
VER,1,Red Bull Racing,49,HARD,22,True,0 days 00:01:15.129000,75.129,2,False
VER,1,Red Bull Racing,50,HARD,23,True,0 days 00:01:15.023000,75.023,2,False
VER,1,Red Bull Racing,51,HARD,24,True,0 days 00:01:15.139000,75.139,2,False
VER,1,Red Bull Racing,52,HARD,25,True,0 days 00:01:15.232000,75.232,2,False
VER,1,Red Bull Racing,53,HARD,26,True,0 days 00:01:14.822000,74.822,2,False
VER,1,Red Bull Racing,54,HARD,27,True,0 days 00:01:15.018000,75.018,2,False
VER,1,Red Bull Racing,55,HARD,28,True,0 days 00:01:14.758000,74.758,2,False
VER,1,Red Bull Racing,56,HARD,29,True,0 days 00:01:15.065000,75.065,2,False
VER,1,Red Bull Racing,57,HARD,30,True,0 days 00:01:15.013000,75.013,2,False
VER,1,Red Bull Racing,58,HARD,31,True,0 days 00:01:15.355000,75.355,2,False
VER,1,Red Bull Racing,59,HARD,32,True,0 days 00:01:15.132000,75.132,2,False
VER,1,Red Bull Racing,60,HARD,33,True,0 days 00:01:15,75.0,2,False
VER,1,Red Bull Racing,61,HARD,34,True,0 days 00:01:15.394000,75.394,2,False
VER,1,Red Bull Racing,62,HARD,35,True,0 days 00:01:14.941000,74.941,2,False
VER,1,Red Bull Racing,63,HARD,36,True,0 days 00:01:15.088000,75.088,2,False
VER,1,Red Bull Racing,64,HARD,37,True,0 days 00:01:15.287000,75.287,2,False
VER,1,Red Bull Racing,65,HARD,38,True,0 days 00:01:14.992000,74.992,2,False
VER,1,Red Bull Racing,66,HARD,39,True,0 days 00:01:15.052000,75.052,2,False
VER,1,Red Bull Racing,67,HARD,40,True,0 days 00:01:15.251000,75.251,2,False
VER,1,Red Bull Racing,68,HARD,41,True,0 days 00:01:15.052000,75.052,2,False
VER,1,Red Bull Racing,69,HARD,42,True,0 days 00:01:14.972000,74.972,2,False
VER,1,Red Bull Racing,70,HARD,43,True,0 days 00:01:15.153000,75.153,2,False
VER,1,Red Bull Racing,71,HARD,44,True,0 days 00:01:15.544000,75.544,2,False
VER,1,Red Bull Racing,72,HARD,45,True,0 days 00:01:15.889000,75.889,2,False
LEC,16,Ferrari,1,MEDIUM,1,True,0 days 00:01:23.322000,83.322,1,False
LEC,16,Ferrari,2,MEDIUM,2,True,0 days 00:01:16.695000,76.695,1,True
LEC,16,Ferrari,3,MEDIUM,3,True,0 days 00:01:16.475000,76.475,1,True
LEC,16,Ferrari,4,MEDIUM,4,True,0 days 00:01:16.131000,76.131,1,True
LEC,16,Ferrari,5,MEDIUM,5,True,0 days 00:01:16.806000,76.806,1,False
LEC,16,Ferrari,6,MEDIUM,6,True,0 days 00:01:16.565000,76.565,1,False
LEC,16,Ferrari,7,MEDIUM,7,True,0 days 00:01:16.637000,76.637,1,False
LEC,16,Ferrari,8,MEDIUM,8,True,0 days 00:01:16.541000,76.541,1,False
LEC,16,Ferrari,9,MEDIUM,9,True,0 days 00:01:16.730000,76.73,1,False
LEC,16,Ferrari,10,MEDIUM,10,True,0 days 00:01:16.614000,76.614,1,False
LEC,16,Ferrari,11,MEDIUM,11,True,0 days 00:01:16.513000,76.513,1,False
LEC,16,Ferrari,12,MEDIUM,12,True,0 days 00:01:16.512000,76.512,1,False
LEC,16,Ferrari,13,MEDIUM,13,True,0 days 00:01:16.631000,76.631,1,False
LEC,16,Ferrari,14,MEDIUM,14,True,0 days 00:01:16.358000,76.358,1,False
LEC,16,Ferrari,15,MEDIUM,15,True,0 days 00:01:16.370000,76.37,1,False
LEC,16,Ferrari,16,MEDIUM,16,True,0 days 00:01:16.491000,76.491,1,False
LEC,16,Ferrari,17,MEDIUM,17,True,0 days 00:01:16.369000,76.369,1,False
LEC,16,Ferrari,18,MEDIUM,18,True,0 days 00:01:16.417000,76.417,1,False
LEC,16,Ferrari,19,MEDIUM,19,True,0 days 00:01:16.518000,76.518,1,False
LEC,16,Ferrari,20,MEDIUM,20,True,0 days 00:01:16.391000,76.391,1,False
LEC,16,Ferrari,21,MEDIUM,21,True,0 days 00:01:16.283000,76.283,1,False
LEC,16,Ferrari,22,MEDIUM,22,True,0 days 00:01:16.750000,76.75,1,False
LEC,16,Ferrari,23,MEDIUM,23,True,0 days 00:01:16.728000,76.728,1,False
LEC,16,Ferrari,24,MEDIUM,24,True,0 days 00:01:19.947000,79.947,1,False
LEC,16,Ferrari,25,HARD,1,True,0 days 00:01:33.239000,93.239,2,False
