Driver,DriverNumber,Team,LapNumber,Compound,TyreLife,FreshTyre,LapTime,LapTimeSeconds,Stint,IsPersonalBest
VER,1,Red Bull Racing,1,MEDIUM,1,True,0 days 00:01:34.499000,94.499,1,False
VER,1,Red Bull Racing,2,MEDIUM,2,True,0 days 00:01:34.235000,94.235,1,True
VER,1,Red Bull Racing,3,MEDIUM,3,True,0 days 00:01:18.591000,78.591,1,True
VER,1,Red Bull Racing,4,MEDIUM,4,True,0 days 00:01:54.690000,114.69,1,False
VER,1,Red Bull Racing,5,MEDIUM,5,True,0 days 00:01:17.510000,77.51,1,True
VER,1,Red Bull Racing,6,MEDIUM,6,True,0 days 00:01:55.533000,115.533,1,False
VER,1,Red Bull Racing,7,MEDIUM,7,True,0 days 00:01:17.100000,77.1,1,True
VER,1,Red Bull Racing,8,MEDIUM,8,True,NaT,,1,False
VER,1,Red Bull Racing,9,MEDIUM,9,False,0 days 00:01:45.527000,105.527,2,False
VER,1,Red Bull Racing,10,MEDIUM,10,False,0 days 00:01:22.873000,82.873,2,False
VER,1,Red Bull Racing,11,MEDIUM,11,False,0 days 00:01:22.694000,82.694,2,False
VER,1,Red Bull Racing,12,MEDIUM,12,False,0 days 00:01:22.284000,82.284,2,False
VER,1,Red Bull Racing,13,MEDIUM,13,False,0 days 00:01:22.719000,82.719,2,False
VER,1,Red Bull Racing,14,MEDIUM,14,False,0 days 00:01:22.626000,82.626,2,False
VER,1,Red Bull Racing,15,MEDIUM,15,False,0 days 00:01:22.647000,82.647,2,False
VER,1,Red Bull Racing,16,MEDIUM,16,False,0 days 00:01:23.132000,83.132,2,False
VER,1,Red Bull Racing,17,MEDIUM,17,False,0 days 00:01:24.081000,84.081,2,False
VER,1,Red Bull Racing,18,MEDIUM,18,False,NaT,,2,False
VER,1,Red Bull Racing,19,SOFT,1,True,0 days 00:01:32.262000,92.262,3,False
VER,1,Red Bull Racing,20,SOFT,2,True,0 days 00:01:17.277000,77.277,3,False
VER,1,Red Bull Racing,21,SOFT,3,True,0 days 00:02:09.371000,129.371,3,False
VER,1,Red Bull Racing,22,SOFT,4,True,0 days 00:01:36.095000,96.095,3,False
VER,1,Red Bull Racing,23,SOFT,5,True,0 days 00:01:17.028000,77.028,3,True
VER,1,Red Bull Racing,24,SOFT,6,True,0 days 00:02:14.129000,134.129,3,False
VER,1,Red Bull Racing,25,SOFT,7,True,0 days 00:01:52.217000,112.217,3,False
VER,1,Red Bull Racing,26,SOFT,8,True,0 days 00:01:16.734000,76.734,3,True
VER,1,Red Bull Racing,27,SOFT,9,True,0 days 00:02:08.403000,128.403,3,False
VER,1,Red Bull Racing,28,SOFT,10,True,NaT,,3,False
RIC,3,RB,1,SOFT,1,True,0 days 00:01:39.029000,99.029,1,False
RIC,3,RB,2,SOFT,2,True,0 days 00:01:18.800000,78.8,1,True
RIC,3,RB,3,SOFT,3,True,0 days 00:02:27.138000,147.138,1,False
RIC,3,RB,4,SOFT,4,False,0 days 00:01:44.952000,104.952,2,False
RIC,3,RB,5,SOFT,5,False,0 days 00:01:18.668000,78.668,2,True
RIC,3,RB,6,SOFT,6,False,0 days 00:02:04.254000,124.254,2,False
RIC,3,RB,7,SOFT,7,False,0 days 00:01:31.073000,91.073,2,False
RIC,3,RB,8,SOFT,8,False,0 days 00:01:18.643000,78.643,2,True
RIC,3,RB,9,SOFT,9,False,0 days 00:01:37.610000,97.61,2,False
RIC,3,RB,10,SOFT,10,False,NaT,,3,False
RIC,3,RB,11,SOFT,1,True,0 days 00:01:36.666000,96.666,4,False
RIC,3,RB,12,SOFT,2,True,0 days 00:01:17.963000,77.963,4,True
RIC,3,RB,13,SOFT,3,True,0 days 00:02:08.597000,128.597,4,False
RIC,3,RB,14,SOFT,4,True,0 days 00:01:45.373000,105.373,4,False
RIC,3,RB,15,SOFT,5,True,0 days 00:01:18.925000,78.925,4,False
RIC,3,RB,16,SOFT,6,True,0 days 00:01:46.854000,106.854,4,False
RIC,3,RB,17,SOFT,7,True,0 days 00:01:38.715000,98.715,4,False
RIC,3,RB,18,SOFT,8,True,0 days 00:01:18.810000,78.81,4,False
RIC,3,RB,19,SOFT,9,True,0 days 00:02:01.819000,121.819,4,False
RIC,3,RB,20,SOFT,10,True,NaT,,4,False
NOR,4,McLaren,1,HARD,1,True,0 days 00:02:05.949000,125.949,1,False
NOR,4,McLaren,2,HARD,1,True,NaT,,2,False
NOR,4,McLaren,3,SOFT,1,True,0 days 00:01:53.723000,113.723,3,False
NOR,4,McLaren,4,SOFT,2,True,0 days 00:01:18.218000,78.218,3,True
NOR,4,McLaren,5,SOFT,3,True,0 days 00:02:08.630000,128.63,3,False
NOR,4,McLaren,6,SOFT,4,True,0 days 00:01:18.033000,78.033,3,True
NOR,4,McLaren,7,SOFT,5,True,0 days 00:01:23.883000,83.883,3,False
NOR,4,McLaren,8,SOFT,6,True,0 days 00:01:21.303000,81.303,3,False
NOR,4,McLaren,9,SOFT,7,True,0 days 00:01:21.471000,81.471,3,False
NOR,4,McLaren,10,SOFT,8,True,0 days 00:01:20.513000,80.513,3,False
NOR,4,McLaren,11,SOFT,9,True,NaT,,3,False
NOR,4,McLaren,12,SOFT,1,True,0 days 00:01:47.868000,107.868,4,False
NOR,4,McLaren,13,SOFT,2,True,0 days 00:01:34.531000,94.531,4,False
NOR,4,McLaren,14,SOFT,3,True,0 days 00:01:17.490000,77.49,4,True
